Model Name,de - trainings acc,en - trainings acc,de/en - trainings acc,de - val acc,en - val acc,de/en - val acc,de - test acc,en - test acc,de/en - test acc,Memory Usage (MB),Embedding Dimension,Encoding Speed (Sentences/Sec) GPU,Encoding Speed (Sentences/Sec) cpu-m1-pro,de/en - trainings acc (unbalanced),de/en - val acc (unbalanced),de/en - test acc (unbalanced)
shibing624/text2vec-base-multilingual,0.8244746600741656,0.8340543881334982,0.8424223698439672,0.797550432276657,0.7997118155619597,0.7902702702702703,0.32153532738038576,0.32964627041845945,0.3338346866700302,448.82,384,8165.93,272.48,0.9065348370152942,0.8497297297297297,0.3187655284676675
ibm-granite/granite-embedding-107m-multilingual,0.8399258343634116,0.8386897404202719,0.8538544724239148,0.7982708933717579,0.8011527377521613,0.8111711711711712,0.30683700474078024,0.31355899935270154,0.32022199164199566,408.16,384,13296.1,542.69,0.8930943920902209,0.8482882882882883,0.2963093413549867
ibm-granite/granite-embedding-278m-multilingual,0.8405438813349815,0.8389987639060569,0.8557083268963387,0.8040345821325648,0.803314121037464,0.8097297297297297,0.3149286979037755,0.31938468567947303,0.3245057068606079,1060.73,768,3943.06,95.85,0.8935578557083269,0.8432432432432433,0.29997429770868833
mixedbread-ai/deepset-mxbai-embed-de-large-v1,0.8773176761433868,0.8739184177997528,0.8904680982542871,0.829971181556196,0.8306916426512968,0.8407207207207207,0.3504369514308017,0.37272969576971404,0.3693419261487496,1858.02,1024,1319.45,28.95,0.9066893248879963,0.8623423423423423,0.34850403145198905
sentence-transformers/distiluse-base-multilingual-cased-v2,0.8454882571075402,0.8590852904820766,0.8779545805654256,0.8105187319884726,0.8170028818443804,0.8115315315315316,0.32589532204938787,0.3294368503217454,0.3314072480461499,516.24,512,6699.72,167.41,0.9108604974509501,0.8508108108108108,0.3096650134699045
sentence-transformers/distiluse-base-multilingual-cased-v1,0.8600123609394313,0.8566131025957973,0.8655955507492662,0.8141210374639769,0.8177233429394812,0.803963963963964,0.3094263465529387,0.32618131972737313,0.3244105131890832,516.24,512,6864.83,164.19,0.9154951336320098,0.8475675675675676,0.2959190473017354
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.8374536464771323,0.8507416563658838,0.8778000926927236,0.7982708933717579,0.7773775216138329,0.8147747747747748,0.3227157626182815,0.3263907398240871,0.3193462098639682,448.82,384,7896.4,233.86,0.932797775374633,0.8609009009009009,0.3017258612647431
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8445611866501854,0.8507416563658838,0.9015912250888305,0.819164265129683,0.8220461095100865,0.8317117117117118,0.3386706776079051,0.3460762289152039,0.3433921312911118,1060.73,768,3910.99,82.91,0.9573613471342499,0.8778378378378379,0.332882749954783
intfloat/multilingual-e5-large-instruct,0.842707045735476,0.8513597033374537,0.8450486636799012,0.8472622478386167,0.845821325648415,0.843963963963964,0.40077680254364756,0.4069222861059285,0.4054393663909223,2135.82,1024,687.51,14.34,0.8759462382202997,0.8695495495495495,0.37748098506411293
intfloat/multilingual-e5-small,0.8377626699629172,0.8504326328800988,0.8504557392244709,0.8126801152737753,0.8148414985590778,0.8288288288288288,0.30226757801344173,0.33166431862315804,0.3318832164037735,448.82,384,8065.82,257.91,0.8748648231113858,0.8508108108108108,0.3023636588639587
intfloat/multilingual-e5-large,0.8822620519159456,0.8887515451174289,0.8943302950718368,0.8386167146974063,0.840778097982709,0.8529729729729729,0.36441178150524534,0.38636104024673495,0.37902312254281334,2135.82,1024,1170.8,26.24,0.8992739069983007,0.8663063063063063,0.36007006254224216
intfloat/multilingual-e5-base,0.857540173053152,0.8621755253399258,0.87053916267573,0.8220461095100865,0.8306916426512968,0.8378378378378378,0.3350912933381566,0.36203023264668927,0.36014621747946196,1060.73,768,3747.84,88.45,0.8878418044183531,0.8504504504504504,0.3351673980713762
nomic-ai/nomic-embed-text-v2-moe,0.8634116192830655,0.8711372064276885,0.8796539471651476,0.8249279538904899,0.8314121037463977,0.8277477477477477,0.3303505131085429,0.3372044320907741,0.3374615655551219,1813.11,768,2021.88,62.33,0.8997373706164066,0.8590990990990991,0.31809917276699445
